"","order","icon1","icon2","asym","harmony","nadj"
"1","DNAn",0,0,0,0,1
"2","nAND",0,0,0,0,0
"3","DnAN",0,0,0,1,0
"4","DNnA",0,0,0,1,0
"5","NnAD",0,0,0,1,0
"6","nADN",1,0,0,0,0
"7","nDAN",1,0,0,0,0
"8","DnNA",0,1,0,1,0
"9","nNAD",0,1,0,0,0
"10","NAnD",0,0,0,1,1
"11","nDNA",1,1,0,0,0
"12","DAnN",0,0,0,1,1
"13","AnND",0,0,0,1,1
"14","NnDA",1,0,0,1,0
"15","NDAn",1,0,1,0,1
"16","AnDN",1,0,0,1,1
"17","DANn",0,1,1,0,1
"18","nNDA",1,1,0,0,0
"19","NADn",1,0,1,0,1
"20","NDnA",1,0,1,1,0
"21","ADnN",1,0,1,1,1
"22","ADNn",1,1,1,0,1
"23","ANDn",1,1,1,0,1
"24","ANnD",0,1,1,1,1
